tempoH,temperC,L,e.L,tempoS,temperK,r,e.r
1,125,16.4,0.05,3600,398.15,0.992736077,0.004
1,150,16.34,0.05,3600,423.15,0.989104116,0.004
1,150,16.35,0.05,3600,423.15,0.989709443,0.004
1,175,16.17,0.05,3600,448.15,0.978813559,0.004
1,176,16.17,0.05,3600,449.15,0.978813559,0.004
1,202,16.01,0.05,3600,475.15,0.969128329,0.004
1,225,15.84,0.04,3600,498.15,0.958837772,0.004
1,249,15.64,0.05,3600,522.15,0.946731235,0.004
1,250,15.65,0.05,3600,523.15,0.947336562,0.004
1,250,15.81,0.05,3600,523.15,0.957021792,0.004
1,276,15.18,0.04,3600,549.15,0.918886199,0.004
1,301,14.57,0.05,3600,574.15,0.881961259,0.004
1,326,13.57,0.05,3600,599.15,0.821428571,0.004
1,350,11.91,0.05,3600,623.15,0.72094431,0.004
1,350,11.79,0.05,3600,623.15,0.713680387,0.004
1,351,11.61,0.05,3600,624.15,0.702784504,0.004
2,126,16.35,0.05,7200,399.15,0.989709443,0.004
2,150,16.38,0.05,7200,423.15,0.991525424,0.004
10,100,16.48,0.06,36000,373.15,0.997578692,0.005
10,125,16.46,0.05,36000,398.15,0.996368039,0.004
10,151,16.26,0.05,36000,424.15,0.984261501,0.004
10,175,15.93,0.06,36000,448.15,0.964285714,0.005
10,200,15.88,0.06,36000,473.15,0.96125908,0.005
10,202,15.77,0.05,36000,475.15,0.954600484,0.004
10,225,15.64,0.05,36000,498.15,0.946731235,0.004
10,250,15.22,0.04,36000,523.15,0.921307506,0.004
10,251,15.08,0.04,36000,524.15,0.91283293,0.004
10,251,15.21,0.05,36000,524.15,0.920702179,0.004
10,275,14.54,0.04,36000,548.15,0.880145278,0.004
10,300,13.23,0.05,36000,573.15,0.800847458,0.004
10,325,11.84,0.05,36000,598.15,0.716707022,0.004
100,75,16.37,0.06,360000,348.15,0.990920097,0.005
100,75,16.4,0.05,360000,348.15,0.992736077,0.004
100,101,16.43,0.05,360000,374.15,0.994552058,0.004
100,125,16.21,0.05,360000,398.15,0.981234867,0.004
100,126,16.26,0.05,360000,399.15,0.984261501,0.004
100,150,16.22,0.05,360000,423.15,0.981840194,0.004
100,175,15.84,0.05,360000,448.15,0.958837772,0.004
100,175,15.95,0.04,360000,448.15,0.965496368,0.004
100,202,15.34,0.05,360000,475.15,0.928571429,0.004
100,225,15.25,0.04,360000,498.15,0.923123487,0.004
100,225,15.22,0.04,360000,498.15,0.921307506,0.004
100,250,14.27,0.04,360000,523.15,0.863801453,0.004
100,250,14.53,0.04,360000,523.15,0.879539952,0.004
100,251,14.67,0.05,360000,524.15,0.888014528,0.004
100,251,14.34,0.05,360000,524.15,0.868038741,0.004
100,275,12.95,0.05,360000,548.15,0.783898305,0.004
100,275,13.22,0.05,360000,548.15,0.800242131,0.004
100,300,10.78,0.05,360000,573.15,0.652542373,0.004
1000,100,16.35,0.06,3600000,373.15,0.989709443,0.005
1000,125,16.17,0.05,3600000,398.15,0.978813559,0.004
1000,150,15.83,0.05,3600000,423.15,0.958232446,0.004
1000,175,15.73,0.04,3600000,448.15,0.952179177,0.004
1000,200,15.35,0.04,3600000,473.15,0.929176755,0.004
1000,225,14.39,0.05,3600000,498.15,0.871065375,0.004
1000,250,13.35,0.06,3600000,523.15,0.80811138,0.004
1000,250,13.98,0.04,3600000,523.15,0.846246973,0.004
1000,250,12.88,0.05,3600000,523.15,0.779661017,0.004
1000,251,13.09,0.04,3600000,524.15,0.792372881,0.003
1000,275,11.53,0.06,3600000,548.15,0.697941889,0.004
1000,275,11.09,0.07,3600000,548.15,0.671307506,0.005
1000,275,11.31,0.07,3600000,548.15,0.684624697,0.005
569790000000,,14.6908,0.182926844,2051244000000000,273.5908474,0.889273608,0.011
569790000000,,14.8812,0.167009546,2051244000000000,276.7537717,0.900799031,0.010
569790000000,,14.5956,0.178171996,2051244000000000,280.0846388,0.883510896,0.011
569790000000,,14.888,0.147622293,2051244000000000,284.9269918,0.901210654,0.009
569790000000,,14.9832,0.132679499,2051244000000000,290.6090593,0.906973366,0.008
569790000000,,14.7656,0.16935171,2051244000000000,293.6600216,0.893801453,0.011
569790000000,,14.8812,0.161016556,2051244000000000,304.4083659,0.900799031,0.010
569790000000,,14.514,0.218430453,2051244000000000,304.8842041,0.878571429,0.013
569790000000,,14.752,0.14011685,2051244000000000,307.0674615,0.892978208,0.009
569790000000,,14.4528,0.150476265,2051244000000000,312.8335004,0.874866828,0.009
569790000000,,14.208,0.109033062,2051244000000000,315.6325484,0.860048426,0.007
569790000000,,14.2556,0.123091586,2051244000000000,318.347625,0.862929782,0.008
569790000000,,14.276,0.124601077,2051244000000000,318.7674822,0.864164649,0.008
569790000000,,13.9632,0.135074934,2051244000000000,321.1186825,0.845230024,0.009
569790000000,,13.5144,0.161998856,2051244000000000,333.7703794,0.818062954,0.010
569790000000,,13.4056,0.195494894,2051244000000000,335.6177511,0.811476998,0.012
569790000000,,13.4804,0.255121233,2051244000000000,339.928285,0.816004843,0.016
569790000000,,13.4872,0.155590504,2051244000000000,345.9742287,0.816416465,0.010
569790000000,,12.848,0.306988389,2051244000000000,357.3103731,0.777723971,0.019
569790000000,,12.4128,0.27616976,2051244000000000,359.0737734,0.751380145,0.017